Setting Name,City,Number of Confirmed Staff,Number of Confirmed Residents,Total Deaths
Restore and Health and Wellness,"Chatsworth, CA",3,6,0
Rio Hondo Subacute & Nursing Center,"Montebello, CA",16,11,2
Riviera Healthcare Center,"Pico Rivera, CA",10,7,1
RMD Homes - Casa Bonita,"Whittier, CA",5,4,0
Robinson Manor,"Altadena, CA",0,2,0
Rolyn Home,"Norwalk, CA",3,4,0
"Rose Senior Care, Inc.","Porter Ranch, CA",6,3,2
Rose Valley Arcadia,"Arcadia, CA",2,0,0
Rose Valley Garfias,"Pasadena, CA",3,3,0
Rose Villa Healthcare Center,"Bellflower, CA",18,11,0
Rosecrans Villa,"Hawthorne, CA",6,14,1
Royal Bellingham,"Valley Village, CA",6,35,5
Royal Gardens Healthcare,"Alhambra, CA",2,2,0
Royal Oaks (Assisted Living),"Duarte, CA",5,11,6
Royal Oaks Manor - Bradbury Oaks (SNF),"Duarte, CA",0,1,0
Royal Terrace Healthcare,"Duarte, CA",8,6,0
RTJ Home Sweet Home Boarding Care,"Lancaster, CA",0,2,0
Sails Newcastle,"Granada Hills, CA",4,1,0
Saint Anne's Maternity Home,"Los Angeles, CA",23,11,0
Sakura Gardens of Los Angeles,"Los Angeles, CA",19,19,3
Salvation Army Alegria,"Los Angeles, CA",2,3,1
San Bernardino House,"Pomona, CA",1,4,0
San Dimas Retirement Center,"San Dimas, CA",6,28,3
San Gabriel Convalescent Center,"Rosemead, CA",39,79,20
Santa Anita Convalescent Hospital,"Temple City, CA",84,112,13
Santa Anita Retirement & Assisted Living Center,"Temple City, CA",10,13,5
Santa Clarita Post Acute Care Center SNF,"Newhall, CA",40,52,10
Santa Fe Lodge Skilled Nursing Facility,"El Monte, CA",12,23,0
Santa Teresita Manor,"Duarte, CA",28,11,0
Scholl Canyon Estates,"Glendale, CA",7,19,5
Seacrest Convalescent Hospital,"San Pedro, CA",15,9,0
Sepulveda Residential,"Van Nuys, CA",0,3,0
Serento Casa (Previously Brookdale San Dimas),"San Dimas, CA",10,15,0
Shalev Senior Living 4,"Valley Glen, CA",2,0,0
Sharon Care Center,"Los Angeles, CA",40,54,12
Sherman Oaks Congregate Center,"Sherman Oaks, CA",0,5,1
Sherman Oaks Health & Rehabilitation Center,"Sherman Oaks, CA",32,40,9
Sherman Village Healthcare Center,"Valley Village, CA",74,66,14
Sierra View Care Center,"Baldwin Park, CA",20,31,5
Silverado Beach Cities,"Redondo Beach, CA",5,0,0
Silverado Calabasas Assisted Living,"Calabasas, CA",9,32,5
Simla Villas,"Bellflower, CA",3,4,0
Sisters of Social Services,"Encino, CA",2,4,2
Skyline Healthcare Center - Los Angeles,"Los Angeles, CA",27,57,8
Sober Living / Texas Recovery,"Tarzana, CA",1,6,0
SoCal Post-Acute Care,"Whittier, CA",0,1,0
Solheim Senior Community (RCFE),"Los Angeles, CA",24,45,1
South Bay Senior Living,"Torrance, CA",16,40,6
South Pasadena Care Center,"South Pasadena, CA",10,6,0
Southern California Assisted Living,"La Puente, CA",1,3,0
"Southern California Hospital Van Nuys, Health Care System Unit 2","Van Nuys, CA",6,1,0
Southland Care Center,"Norwalk, CA",74,79,14
Southland Living,"Norwalk, CA",4,9,0
Spring Meadows Home,"Lancaster, CA",3,5,1
St. Lucy's Home,"Baldwin Park, CA",2,3,0
"St. Mary's Home, ICF-DDN","La Puente, CA",5,4,0
Stoney Point Healthcare Center,"Chatsworth, CA",32,24,9
Strata Bella (Norwalk) Corporation,"Norwalk, CA",6,4,0
Studio City Rehabilitation Center,"Studio City, CA",53,52,1
Sunny Village Care Center,"Alhambra, CA",39,61,30
Sunnyside Nursing Center,"Torrance, CA",26,8,0
Sunray Health Care Center,"Los Angeles, CA",41,20,5
Sunrise at Palos Verdes,"Torrance, CA",22,17,0
Sunrise at Sterling Canyon,"Santa Clarita, CA",15,3,1
Sunrise of Claremont,"Claremont, CA",8,1,0
Sunrise of Playa Vista,"Playa Vista, CA",5,16,0
Sunrise of Studio City,"Studio City, CA",4,3,0
Sunrise of West Hills,"West Hills, CA",18,9,0
Sunrise of Woodland Hills (1),"Woodland Hills, CA",3,0,0
Sunrise of Woodland Hills (2),"Woodland Hills, CA",26,18,3
Sunshine Cottage,"Lakewood, CA",2,4,0
Supercare Guest Home,"La Mirada, CA",1,4,0
Sylmar Health and Rehabilitation Center,"Sylmar, CA",61,68,1
Tarzana Health and Rehabilitation Center,"Tarzana, CA",43,35,3
Tarzana Treatment Center,"Tarzana, CA",12,83,0
Tarzana Treatment Center - Lancaster,"Lancaster, CA",0,14,0
Teen Challenge Ministry Institute,"South Gate, CA",4,40,0
Temple City Healthcare,"Arcadia Uninc., CA",26,44,2
The Bungalow,"Pasadena, CA",4,6,4
The Care Center on Hazeltine (Previously Van Nuys Health Care Center),"Van Nuys, CA",34,34,0
The Caring Bunch,"Granada Hills, CA",8,6,0
The Carter Place,"Sierra Madre, CA",0,2,0
The Colony - Valley Glen 1,"Valley Glen, CA",2,0,0
The Commons at Woodland Hills,"Woodland Hills, CA",30,39,9
The Gardens of El Monte (Previously Idle Acre Sanitarium & Convalescent Hospital),"El Monte, CA",16,2,0
The Grandview,"Los Angeles, CA",7,33,0
The Grove at Cerritos (RCFE),"Cerritos, CA",11,15,0
The Grove Post-Acute Care Center,"Sylmar, CA",14,18,2
The Havens at Antelope Valley,"Lancaster, CA",16,44,0
The Heights at Burbank,"Burbank, CA",22,14,0
The Orchard Post Acute Care,"Whittier, CA",46,80,15
The Rehabilitation Center of Santa Monica,"Santa Monica, CA",29,28,2
The Rehabilitation Centre of Beverly Hills,"Los Angeles, CA",41,40,11
The Rowland,"Covina, CA",0,2,0
The Royal Garden Board and Care,"Valley Glen, CA",4,1,0
The Terraces at Park Marino,"Pasadena, CA",17,15,0
The Villa,"Downey, CA",2,6,1
The Village at Northridge,"Northridge, CA",31,17,1
The Village at Sherman Oaks,"Sherman Oaks, CA",1,3,1
The Village at Sherman Oaks Memory Care Unit,"Sherman Oaks, CA",36,6,2
Thoreau House 2,"Los Angeles, CA",4,0,0
TLC Donna House,"Northridge, CA",4,4,0
TLC Kronenthal House,"Reseda, CA",14,12,0
TLC Lindley House 2,"Reseda, CA",7,3,0
TLC Rinaldi House,"Granada Hills, CA",9,6,0
Topanga Terrace Convalescent Center (1),"West Hills, CA",33,27,4
Topanga Terrace Convalescent Center (2),"West Hills, CA",1,1,0
"Total Care Residential, Inc.","Cerritos, CA",6,4,0
Touching Lives Homes 2,"Los Angeles, CA",3,3,0
Transitional Sober Living,"Lakewood, CA",0,3,0
Turner's Residential Facility,"Palmdale, CA",1,4,0
Twelve Oaks Senior Living,"La Crescenta, CA",11,15,4
United Cerebral Palsy Bradley House,"Sylmar, CA",10,3,0
United Cerebral Palsy Max Factor House,"Chatsworth, CA",6,6,1
United Cerebral Palsy Mission House,"Northridge, CA",8,5,0
United Cerebral Palsy Newport House,"Chatsworth, CA",4,3,0
United Cerebral Palsy Ranch House,"Sylmar, CA",3,3,0
United Cerebral Palsy White Oak House,"Northridge, CA",8,4,0
VA Greater LA Healthcare System,"Los Angeles, CA",8,11,0
Valley Manor Guest Home,"North Hollywood, CA",10,16,0
Valley Palms Care Center,"North Hollywood, CA",2,21,2
Valley View Retirement Center,"Panorama City, CA",2,22,3
Valley Village Altano House,"Sylmar, CA",10,8,0
Valley Vista Nursing and Transitional Care LLC,"North Hollywood, CA",48,52,3
Valley Vista Senior Living,"Van Nuys, CA",5,4,1
Vermont Healthcare Center,"Torrance, CA",33,31,0
Vernon Healthcare Center,"Los Angeles, CA",37,39,4
Veterans Home of California - Lancaster,"Lancaster, CA",10,4,1
Veterans Home of California - West Los Angeles,"Los Angeles, CA",95,46,7
Victoria Care Center,"Baldwin Park, CA",12,13,1
Victorious Residential Home,"La Puente, CA",2,3,0
Viewcrest Congregate Living,"North Hollywood, CA",6,4,0
Villa Del Rio Convalescent Center,"Bell Gardens, CA",22,3,0
Villa Del Rio Gardens Care Center,"Bell Gardens, CA",16,17,0
Villa Elena Healthcare Center,"Norwalk, CA",32,55,5
Villa Scalabrini,"Sun Valley, CA",13,16,3
Virgil Rehabilitation and Skilled Nursing Center,"Los Angeles, CA",15,20,5
"Vista Care Home, Inc.","Mission Hills, CA",3,1,0
Vista Cove at San Gabriel (Previously Royal Vista San Gabriel),"San Gabriel, CA",1,11,2
Vista Del Sol Care Center,"Los Angeles, CA",8,10,1
Vista Veranda,"Lynwood, CA",14,14,1
Walnut Acres Residential Care,"Woodland Hills, CA",0,4,2
Washington Home of Sacred Living,"Los Angeles, CA",1,4,0
Wauls Small Family Home,"Palmdale, CA",2,3,0
Wayfinder Family Services,"View Park, CA",4,0,0
Wayfinder Family Services (Transitional Unit),"View Park, CA",4,0,0
Wellsprings Post Acute Center (1),"Lancaster, CA",78,129,18
Wellsprings Post Acute Center (2),"Lancaster, CA",7,8,1
West Covina Healthcare Center,"West Covina, CA",27,37,6
West Haven Healthcare Center,"West Covina, CA",5,16,0
West Hills Health and Rehabilitation Center,"Canoga Park, CA",31,42,3
West Valley Assisted Living,"West Hills, CA",2,4,0
Westchester Villa,"Inglewood, CA",6,49,4
Westlake Convalescent Hospital,"Los Angeles, CA",16,1,0
Westport Home,"Littlerock, CA",1,1,1
White Oak Congregate Living Facility,"Northridge, CA",3,2,1
Whittier Glen Assisted Living,"Whittier, CA",19,45,6
Whittier Hills Health Care Center,"Whittier, CA",53,88,19
"Whittier Nursing and Wellness Center, Inc.","Whittier, CA",2,3,0
Whittier Pacific Care Center,"Whittier, CA",4,43,3
Windsor Care Center of Cheviot Hills,"Los Angeles, CA",19,16,0
Windsor Gardens Convalescent Center (Camino Healthcare),"Hawthorne, CA",21,37,5
Windsor Gardens Healthcare Center of The Valley,"North Hollywood, CA",37,72,7
Windsor Manor (Assisted Living),"Glendale, CA",26,36,1
Windsor Manor (SNF),"Glendale, CA",3,1,0
Windsor Palms Care Center of Artesia,"Artesia, CA",97,227,18
Woodland Care Center,"Reseda, CA",55,68,20
Woodlawn Park,"Lynwood, CA",2,4,0
Woodruff Care Home,"Bellflower, CA",1,11,1
Wyland House,"Monrovia, CA",2,1,0
