"Activity Date","Name","Address","City","Description"
03/10/2021,"STOX RESTAURANT             ","9518 E IMPERIAL HWY ","DOWNEY","RESTAURANT (151 + ) SEATS HIGH RISK"
03/10/2021,"RELENTLESS BREWING AND SPIRITS","2133 COLORADO BLVD","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK"
03/10/2021,"AVENUE A BAR & GRILL","800 S PACIFIC COAST HWY STE 9 ","REDONDO BEACH","RESTAURANT (31-60) SEATS HIGH RISK"
03/10/2021,"DENNY'S #6847","1504 GILLETTE RD","POMONA","RESTAURANT (61-150) SEATS HIGH RISK"
03/10/2021,"POWERHOUSE GYM","22715 HAWTHORNE BLVD ","TORRANCE","GYMS AND FITNESS CENTERS (NO POOL)"
03/10/2021,"BIZARRA CAPITAL","12706 PHILADELPHIA ST ","WHITTIER","RESTAURANT (61-150) SEATS HIGH RISK"
03/10/2021,"MOONLIGHT TAVERN","15825 E GALE AVE ","HACIENDA HEIGHTS","RESTAURANT (61-150) SEATS LOW RISK"
03/10/2021,"COAST FITNESS - SOUTH BAY","5001 W EL SEGUNDO BLVD ","HAWTHORNE","GYMS AND FITNESS CENTERS (NO POOL)"
03/10/2021,"6 DEGREE FITNESS","4050 HARDWICK ST ","LAKEWOOD","GYMS AND FITNESS CENTERS (NO POOL)"
03/10/2021,"NO PROGRAM IDENTIFIER","3405 CESAR CHAVEZ AVE ","LOS ANGELES","STREET VENDING"
03/10/2021,"CALVARY BAPTIST CHURCH","2990 DAMIEN AVE ","LA VERNE","PLACES OF WORSHIP"
03/10/2021,"CHAMPIONS SPORTS FACILITY INC","20797 MAIN ST S ","CARSON","YOUTH SPORTS AND ADULT RECREATIONAL SPORTS"
03/10/2021,"TIN HORN FLATS BAR & GRILL  ","2623 W MAGNOLIA BLVD ","BURBANK","RESTAURANT (61-150) SEATS HIGH RISK"
03/10/2021,"HI BROW                       ","547 E FOOTHILL BLVD ","POMONA","RESTAURANT (31-60) SEATS HIGH RISK"
03/10/2021,"MADHOUSE GAINS ASYLUM","4901 PATATA ST SUITE #108 ","CUDAHY","GYMS AND FITNESS CENTERS (NO POOL)"
03/10/2021,"OAKS CHRISTIAN SCHOOL","31749 LA TIENDA RD ","WESTLAKE VILLAGE","PUBLIC / PRIVATE SCHOOLS"
03/10/2021,"CAFE SOLAR","6224 W MANCHESTER AVE LOS","LOS ANGELES","RESTAURANT (31-60) SEATS LOW RISK"
03/10/2021,"NO PROGRAM IDENTIFIER","258 S ATLANTIC ","LOS ANGELES","STREET VENDING"
03/10/2021,"CALVARY BAPTIST CHURCH","2990 DAMIEN AVE ","LA VERNE","PLACES OF WORSHIP"
03/10/2021,"DREAMS CLUB","811 CRISTOBAL AVE","WILMINGTON","RESTAURANT (61-150) SEATS LOW RISK"
03/09/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
03/09/2021,"ENRICH FIT GYM","2422 W VICTORY BLVD ","BURBANK","GYMS AND FITNESS CENTERS (NO POOL)"
03/09/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
03/09/2021,"FITIQUITY","2010 N. HOLLYWOOD WAY ","BURBANK","GYMS AND FITNESS CENTERS (NO POOL)"
03/09/2021,"ANYTIME FITNESS","300 E COLORADO ST ","GLENDALE","GYMS AND FITNESS CENTERS (NO POOL)"
03/09/2021,"WORLD GYM","6656 FOOTHILL BLVD ","TUJUNGA","GYMS AND FITNESS CENTERS (NO POOL)"
03/09/2021,"ZOO CULTURE","6455 DE SOTO AVE ","WOODLAND HILLS","GYMS AND FITNESS CENTERS (NO POOL)"
03/08/2021,"HQ GASTROPUB","20969 VENTURA BLVD","WOODLAND HILLS","RESTAURANT (151 + ) SEATS HIGH RISK"
03/08/2021,"CARBON FIT LAB","19325 PLUM CANYON RD ","SANTA CLARITA","GYMS AND FITNESS CENTERS (NO POOL)"
03/08/2021,"FITNESS 19","1422 S AZUSA ","WEST COVINA","GYMS AND FITNESS CENTERS (NO POOL)"
03/07/2021,"HOLLYWOOD SPORTS","9030 SOMERSET BLVD ","BELLFLOWER","FAMILY ENTERTAINMENT (BOWLING, MINI GOLF,ETC)"
03/07/2021,"BLUE ROOM                     ","916 S SAN FERNANDO BLVD ","BURBANK","RESTAURANT (31-60) SEATS LOW RISK"
03/06/2021,"LUCILLE'S SMOKEHOUSE BAR-B-QUE","1870 MONTEBELLO TOWN CTR","MONTEBELLO","RESTAURANT (151 + ) SEATS HIGH RISK"
03/06/2021,"RODEWAY INN","777 VINE ST ","LOS ANGELES","HOTEL (21-50) ROOMS"
03/06/2021,"BOSSA NOVA PIZZA PASTA & GRI  ","7181 W SUNSET BLVD ","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK"
03/06/2021,"KOGIYA","9711 RESEDA BLVD","NORTHRIDGE","RESTAURANT (61-150) SEATS HIGH RISK"
03/06/2021,"S & P RESTAURANT & SPORTS BAR","13225 TELEGRAPH RD","SANTA FE SPRINGS","RESTAURANT (151 + ) SEATS HIGH RISK"
03/06/2021,"DELICIOUS PIZZA SUNSET BLVD.","6601 SUNSET BLVD","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK"
03/06/2021,"EL COMPADRE RESTAURANT","7408 W SUNSET BLVD ","LOS ANGELES","RESTAURANT (151 + ) SEATS HIGH RISK"
03/05/2021,"SOHO HOUSE","9200 W SUNSET BLVD ","WEST HOLLYWOOD","RESTAURANT (151 + ) SEATS HIGH RISK"
03/05/2021,"BOA STEAK HOUSE             ","9200 W SUNSET BLVD ","WEST HOLLYWOOD","RESTAURANT (151 + ) SEATS HIGH RISK"
03/05/2021,"MOUN OF TUNIS                 ","7445 SUNSET BLVD # B","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK"
03/05/2021,"KING & QUEEN SANTA MONICA","1401 OCEAN # 104","SANTA MONICA","RESTAURANT (31-60) SEATS HIGH RISK"
03/05/2021,"ANYTIME FITNESS","2217 HUNTINGTON DR ","DUARTE","GYMS AND FITNESS CENTERS (NO POOL)"
03/05/2021,"ANYTIME FITNESS ARCADIA","9 E FOOTHILL BLVD ","ARCADIA","GYMS AND FITNESS CENTERS (NO POOL)"
03/05/2021,"RED PALACE #2","18868 NORWALK BLVD","ARTESIA","RESTAURANT (61-150) SEATS HIGH RISK"
03/05/2021,"PROJECT N1 AIRSOFT FIELD","12440 EXLINE ST ","EL MONTE","FAMILY ENTERTAINMENT (BOWLING, MINI GOLF,ETC)"
03/05/2021,"TEMPO CANTINA","12056 PARAMOUNT BLVD","DOWNEY","RESTAURANT (61-150) SEATS HIGH RISK"
03/05/2021,"SELF MADE TRAINING FACILITY","1705 W GARVEY AVE ","WEST COVINA","GYMS AND FITNESS CENTERS (NO POOL)"
03/05/2021,"NO PROGRAM IDENTIFIER","1205 WEST SIDE ","EAST LOS ANGELES","STREET VENDING"
03/05/2021,"GRUB BURGER BAR","13815 WHITTIER BLVD","WHITTIER","RESTAURANT (151 + ) SEATS HIGH RISK"
03/05/2021,"CHEEBO                      ","7533 W SUNSET BLVD ","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK"
03/05/2021,"TACOS GALLO LOCO","13315 IMPERIAL HWY","WHITTIER","MOBILE FOOD FACILITY - TRUCK HIGH RISK"
03/04/2021,"JOE'S DINER                   ","400 N PACIFIC COAST HWY ","REDONDO BEACH","RESTAURANT (61-150) SEATS HIGH RISK"
03/04/2021,"CVS/PHARMACY #2958","16461 VENTURA BLVD ","ENCINO","FOOD MKT RETAIL (2,000+ SF) LOW RISK"
03/04/2021,"USA FITNESS (NEW DBA - SPEAKEASY FITNESS)","7869 VAN NUYS BLVD ","PANORAMA CITY","GYMS AND FITNESS CENTERS (NO POOL)"
03/04/2021,"OAKS CHRISTIAN SCHOOL","31749 LA TIENDA RD ","WESTLAKE VILLAGE","PUBLIC / PRIVATE SCHOOLS"
03/04/2021,"CAFE X20                      ","2445 FOOTHILL BLVD STE #A","LA VERNE","RESTAURANT (61-150) SEATS HIGH RISK"
03/04/2021,"GOLD'S GYM VALENCIA","24445 TOWN CENTER DR ","VALENCIA","GYMS AND FITNESS CENTERS (NO POOL)"
03/04/2021,"MOSMAN'S COUNTRY STEAKHOUSE & BAR","46645 60TH ST W","LANCASTER","RESTAURANT (61-150) SEATS HIGH RISK"
03/04/2021,"GEORGES GREEK CAFE            ","5252 N FACULTY AVE ","LAKEWOOD","RESTAURANT (151 + ) SEATS HIGH RISK"
03/04/2021,"GOLD'S GYM VALENCIA","24445 TOWN CENTER DR ","VALENCIA","GYMS AND FITNESS CENTERS (NO POOL)"
03/04/2021,"PROPTA PERSONAL TRAINER ASSOCIATION/FLEX GYM","20971 WARNER CENTER LN ","WOODLAND HILLS","GYMS AND FITNESS CENTERS (NO POOL)"
03/04/2021,"LA CASA DEL COCINERO","14323 WHITTIER BLVD","WHITTIER","RESTAURANT (61-150) SEATS HIGH RISK"
03/04/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
03/04/2021,"AROMA BAKERY CAFE","7373 W SUNSET BLVD","LOS ANGELES","RESTAURANT (151 + ) SEATS HIGH RISK"
03/04/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
03/03/2021,"GREAT CLIPS","18427 NORDHOFF ST UNIT A ","NORTHRIDGE","HAIR SALONS/ BARBERSHOPS"
03/03/2021,"GABLE HOUSE BOWL","22501 HAWTHORNE BLVD ","TORRANCE","FAMILY ENTERTAINMENT (BOWLING, MINI GOLF,ETC)"
03/03/2021,"LIGHTHOUSE SPORTS CENTER","14208 MULBERRY ","WHITTIER","GYMS AND FITNESS CENTERS (NO POOL)"
03/03/2021,"COAST FITNESS - SOUTH BAY","5001 W EL SEGUNDO BLVD ","HAWTHORNE","GYMS AND FITNESS CENTERS (NO POOL)"
03/03/2021,"TILLIS BRAZILIAN JIU JITSU","10707 LA MIRADA BLVD ","WHITTIER","GYMS AND FITNESS CENTERS (NO POOL)"
03/03/2021,"SPIRES RESTAURANT             ","22327 S WILMINGTON AVE ","CARSON","RESTAURANT (61-150) SEATS HIGH RISK"
03/03/2021,"MADHOUSE GAINS ASYLUM","4901 PATATA ST SUITE #108 ","CUDAHY","GYMS AND FITNESS CENTERS (NO POOL)"
03/03/2021,"CHAMPIONS SPORTS FACILITY INC","20797 MAIN ST S ","CARSON","YOUTH SPORTS AND ADULT RECREATIONAL SPORTS"
03/03/2021,"RESTAURANTE JUQUILA 2 INC.","10022 VENICE BLVD","CULVER CITY","RESTAURANT (0-30) SEATS HIGH RISK"
03/03/2021,"ROAD TO SEOUL","1230 S WESTERN AVE","LOS ANGELES","RESTAURANT (151 + ) SEATS HIGH RISK"
03/03/2021,"6 DEGREE FITNESS","4050 HARDWICK ST ","LAKEWOOD","GYMS AND FITNESS CENTERS (NO POOL)"
03/03/2021,"POWERHOUSE GYM","22715 HAWTHORNE BLVD ","TORRANCE","GYMS AND FITNESS CENTERS (NO POOL)"
03/02/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
03/02/2021,"WILLY'S BARBER SHOP NO 1","10413 LAUREL CANYON BLVD ","PACOIMA","HAIR SALONS/ BARBERSHOPS"
03/02/2021,"WORLD GYM","6656 FOOTHILL BLVD ","TUJUNGA","GYMS AND FITNESS CENTERS (NO POOL)"
03/02/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
03/02/2021,"SHOWROOM BEAUTY SALON","8915 1/2 WOODMAN AVE ","ARLETA","PERSONAL CARE (NAIL SALONS,UNP. MASSAGE,SPAS)"
03/02/2021,"SMITHFIELD FOODS INC.","3049 E VERNON AVE ","VERNON","CONSUMER FOOD"
03/02/2021,"ANYTIME FITNESS","300 E COLORADO ST ","GLENDALE","GYMS AND FITNESS CENTERS (NO POOL)"
03/02/2021,"FITIQUITY","2010 N. HOLLYWOOD WAY ","BURBANK","GYMS AND FITNESS CENTERS (NO POOL)"
03/01/2021,"TAMMIE'S NAILS","8700 WOODMAN AVE UNIT 11 ","ARLETA","PERSONAL CARE (NAIL SALONS,UNP. MASSAGE,SPAS)"
03/01/2021,"NAILSPA SALON","20423 DEVONSHIRE ST ","CHATSWORTH","PERSONAL CARE (NAIL SALONS,UNP. MASSAGE,SPAS)"
03/01/2021,"FITNESS 19","1422 S AZUSA ","WEST COVINA","GYMS AND FITNESS CENTERS (NO POOL)"
03/01/2021,"KNOCKOUTS BOXING GYM","9201 CALIFORNIA AVE A ","SOUTH GATE","GYMS AND FITNESS CENTERS (NO POOL)"
03/01/2021,"CASA JIMENEZ                ","1938 E ROUTE 66 RTE UNIT B & C","GLENDORA","RESTAURANT (61-150) SEATS HIGH RISK"
02/28/2021,"JOE'S DINER                   ","400 N PACIFIC COAST HWY ","REDONDO BEACH","RESTAURANT (61-150) SEATS HIGH RISK"
02/28/2021,"HOLLYWOOD SPORTS","9030 SOMERSET BLVD ","BELLFLOWER","FAMILY ENTERTAINMENT (BOWLING, MINI GOLF,ETC)"
02/27/2021,"LONDON'S PUB AND GRILL","11651 ARTESIA BLVD","ARTESIA","RESTAURANT (61-150) SEATS HIGH RISK"
02/27/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
02/27/2021,"YAMATO RESTAURANT","24947 W PICO CANYON RD","STEVENSON RANCH","RESTAURANT (151 + ) SEATS HIGH RISK"
02/27/2021,"CAESAR'S MONGOLIAN BAR-B-Q  ","11803 DEL AMO BLVD ","CERRITOS","RESTAURANT (61-150) SEATS HIGH RISK"
02/27/2021,"J TRANI'S","584 W 9TH ST ","SAN PEDRO","RESTAURANT (61-150) SEATS HIGH RISK"
02/27/2021,"LAS PALMAS RESTAURANT       ","23909 S AVALON BLVD ","CARSON","RESTAURANT (31-60) SEATS HIGH RISK"
02/27/2021,"LORENA PHARMACY               ","3400 WHITTIER BLVD","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK"
02/27/2021,"IRON CITY","589 W 9TH ST ","SAN PEDRO","RESTAURANT (31-60) SEATS HIGH RISK"
02/26/2021,"LOLITA'S BARRA N GRILL","7110 ATLANTIC AVE","BELL","RESTAURANT (31-60) SEATS MODERATE RISK"
02/26/2021,"MALAMA PONO","13355 VENTURA BLVD","SHERMAN OAKS","RESTAURANT (31-60) SEATS HIGH RISK"
02/26/2021,"SELF MADE TRAINING FACILITY","1705 W GARVEY AVE ","WEST COVINA","GYMS AND FITNESS CENTERS (NO POOL)"
02/26/2021,"D'VINE KARAOKE LOUNGE & RESTAURANT","2650 E GARVEY AVE S","WEST COVINA","RESTAURANT (61-150) SEATS HIGH RISK"
02/26/2021,"MARQUEZ RESTAURANT","13226 E ROSECRANS AVE ","NORWALK","RESTAURANT (61-150) SEATS HIGH RISK"
02/26/2021,"MANPUKU","1870 W CARSON ST # A,B,C","TORRANCE","RESTAURANT (61-150) SEATS HIGH RISK"
02/26/2021,"CALLAHAN'S","200 S IRWINDALE AVE","AZUSA","RESTAURANT (61-150) SEATS HIGH RISK"
02/26/2021,"MLBB HOT POT","301 W VALLEY BLVD # 112","SAN GABRIEL","RESTAURANT (31-60) SEATS HIGH RISK"
02/26/2021,"PROJECT N1 AIRSOFT FIELD","12440 EXLINE ST ","EL MONTE","FAMILY ENTERTAINMENT (BOWLING, MINI GOLF,ETC)"
02/26/2021,"JAZMIN'S RESTAURANT         ","24328 MAIN ST ","NEWHALL","RESTAURANT (31-60) SEATS HIGH RISK"
02/25/2021,"SUPER MEX RESTAURANT - LAKEWOOD","5254 FACULTY AVE ","LAKEWOOD","RESTAURANT (61-150) SEATS HIGH RISK"
02/25/2021,"LA POBLANA","14264 NELSON AVE ","LA PUENTE","RESTAURANT (61-150) SEATS HIGH RISK"
02/25/2021,"MUL CAHEYS","15334 WHITTIER BLVD","WHITTIER","RESTAURANT (61-150) SEATS MODERATE RISK"
02/25/2021,"PROPTA PERSONAL TRAINER ASSOCIATION/FLEX GYM","20971 WARNER CENTER LN ","WOODLAND HILLS","GYMS AND FITNESS CENTERS (NO POOL)"
02/25/2021,"AZTEC CIGAR COMPANY","301 W FOOTHILL BLVD ","MONROVIA","UNREGULATED FACILITY (COVID-19 HOO)"
02/25/2021,"MEDITERRANEAN BISTRO","19735 RINALDI ST","PORTER RANCH","RESTAURANT (31-60) SEATS HIGH RISK"
02/25/2021,"TACOS EL VENADO","11702 VICTORY BLVD ","NORTH HOLLYWOOD","STREET VENDING"
02/25/2021,"HOAI CORP","19259 E COLIMA RD","ROWLAND HEIGHTS","RESTAURANT (0-30) SEATS MODERATE RISK"
02/24/2021,"TIN HORN FLATS BAR & GRILL  ","2623 W MAGNOLIA BLVD ","BURBANK","RESTAURANT (61-150) SEATS HIGH RISK"
02/24/2021,"NAIL'D IT LONDON","817 AMERICANA WAY ","GLENDALE","PERSONAL CARE (NAIL SALONS,UNP. MASSAGE,SPAS)"
02/24/2021,"GOLD'S GYM VALENCIA","24445 TOWN CENTER DR ","VALENCIA","GYMS AND FITNESS CENTERS (NO POOL)"
02/24/2021,"COAST FITNESS - SOUTH BAY","5001 W EL SEGUNDO BLVD ","HAWTHORNE","GYMS AND FITNESS CENTERS (NO POOL)"
02/24/2021,"JEONG YUK JEOM","621 S WESTERN AVE STE 100","LOS ANGELES","RESTAURANT (151 + ) SEATS HIGH RISK"
02/24/2021,"GEN KOREAN BBQ HOUSE","11472 SOUTH ST","CERRITOS","RESTAURANT (61-150) SEATS HIGH RISK"
02/24/2021,"FITNESS 19","1310 ROSECRANS AVE ","GARDENA","GYMS AND FITNESS CENTERS (NO POOL)"
02/24/2021,"6 DEGREE FITNESS","4050 HARDWICK ST ","LAKEWOOD","GYMS AND FITNESS CENTERS (NO POOL)"
02/24/2021,"CAFE GIVRAL","9008 GARVEY AVE","ROSEMEAD","RESTAURANT (31-60) SEATS LOW RISK"
02/24/2021,"IL CIELO                      ","9018 BURTON WAY ","BEVERLY HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
02/24/2021,"TAMMIE'S NAILS","8700 WOODMAN AVE UNIT 11 ","ARLETA","PERSONAL CARE (NAIL SALONS,UNP. MASSAGE,SPAS)"
02/24/2021,"UFC GYM","14920 LA MIRADA AVE","LA MIRADA","GYMS AND FITNESS CENTERS (NO POOL)"
02/24/2021,"AFTERBURN FITNESS","1133 ARTESIA BLVD ","MANHATTAN BEACH","GYMS AND FITNESS CENTERS (NO POOL)"
02/24/2021,"LAKEWOOD FAMILY BILLIARDS","4125 PARAMOUNT BLVD ","LAKEWOOD","FAMILY ENTERTAINMENT (BOWLING, MINI GOLF,ETC)"
02/24/2021,"CROSSFIT WEST COVINA","1705 W GARVEY AVE ","WEST COVINA","GYMS AND FITNESS CENTERS (NO POOL)"
02/24/2021,"POWERHOUSE GYM","22715 HAWTHORNE BLVD ","TORRANCE","GYMS AND FITNESS CENTERS (NO POOL)"
02/23/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
02/23/2021,"THE FIREHOUSE               ","213 ROSE AVE ","VENICE","RESTAURANT (61-150) SEATS HIGH RISK"
02/23/2021,"CALIFORNIA GRILL","6751 S PAINTER AVE ","WHITTIER","RESTAURANT (61-150) SEATS HIGH RISK"
02/23/2021,"LEGACY BRAZILLIAN JIU JITSU","330 N VICTORY BLVD N ","BURBANK","GYMS AND FITNESS CENTERS (NO POOL)"
02/23/2021,"THINK CAFE","302 W 5TH ST ","SAN PEDRO","RESTAURANT (61-150) SEATS HIGH RISK"
02/23/2021,"ANYTIME FITNESS ARCADIA","9 E FOOTHILL BLVD ","ARCADIA","GYMS AND FITNESS CENTERS (NO POOL)"
02/23/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
02/22/2021,"SMITHFIELD FOODS INC.","3049 E VERNON AVE ","VERNON","CONSUMER FOOD"
02/22/2021,"BIG SHOTZ BAR & GRILL","227 PILLSBURY ST","LANCASTER","RESTAURANT (31-60) SEATS HIGH RISK"
02/22/2021,"FITNESS 19","1310 W ROSECRANS AVENUE ","GARDENA","GYMS AND FITNESS CENTERS (NO POOL)"
02/21/2021,"UFC GYM","14920 LA MIRADA BLVD ","LA MIRADA","GYMS AND FITNESS CENTERS (NO POOL)"
02/21/2021,"EL 7 MARES/PESCADERIA       ","6321 E WHITTIER BLVD ","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK"
02/21/2021,"LAB ELITE SPORTS FACILITY","1539 E DEL AMO BLVD ","CARSON","YOUTH SPORTS AND ADULT RECREATIONAL SPORTS"
02/21/2021,"FITNESS 19","1422 S AZUSA ","WEST COVINA","GYMS AND FITNESS CENTERS (NO POOL)"
02/20/2021,"CHAMPIONS SPORTS FACILITY INC","20797 MAIN ST S ","CARSON","YOUTH SPORTS AND ADULT RECREATIONAL SPORTS"
02/20/2021,"AZTEC CIGAR COMPANY","301 W FOOTHILL BLVD ","MONROVIA","UNREGULATED FACILITY (COVID-19 HOO)"
02/20/2021,"FITIQUITY","2010 N. HOLLYWOOD WAY ","BURBANK","GYMS AND FITNESS CENTERS (NO POOL)"
02/20/2021,"MARISCOS CAMARENA","2055 GLENOAKS BLVD","SAN FERNANDO","RESTAURANT (31-60) SEATS HIGH RISK"
02/20/2021,"XANDER SPORTS","205 W TORRANCE BLVD ","CARSON","GYMS AND FITNESS CENTERS (NO POOL)"
02/20/2021,"LAS ISLITAS RESTAURANT      ","5875 S HOOPER AVE ","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK"
02/20/2021,"REMEDY LIQUOR","1700 W GLENOAKS BLVD","GLENDALE","FOOD MKT RETAIL (1-1,999 SF) LOW RISK"
02/20/2021,"EL CEVICHAZO MEXICAN RESTAURANT","2728 E PALMDALE BLVD # 110","PALMDALE","RESTAURANT (61-150) SEATS HIGH RISK"
02/20/2021,"FIA RESTAURANT","2454 WILSHIRE BLVD ","SANTA MONICA","RESTAURANT (151 + ) SEATS HIGH RISK"
02/20/2021,"NEUTRAL GROUNDS BRAZILIAN GRACIE JIU-JITSU","2451 E WILLOW ST ","SIGNAL HILL","GYMS AND FITNESS CENTERS (NO POOL)"
02/20/2021,"EATALY","10250 SANTA MONICA BLVD STE 2705","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK"
02/19/2021,"GEN KOREAN BBQ","24301 CRENSHAW BLVD","TORRANCE","RESTAURANT (61-150) SEATS HIGH RISK"
02/19/2021,"JAZMINS REASTURANT","24367 MAIN ST ","NEWHALL","CONSUMER FOOD"
02/19/2021,"SELF MADE TRAINING FACILITY","1705 W GARVEY AVE ","WEST COVINA","GYMS AND FITNESS CENTERS (NO POOL)"
02/19/2021,"CHO DANG TOFU","12245 ARTESIA BLVD","CERRITOS","RESTAURANT (61-150) SEATS HIGH RISK"
02/19/2021,"POT ON FIRE","11900 SOUTH ST # 110","CERRITOS","RESTAURANT (61-150) SEATS HIGH RISK"
02/19/2021,"FOOTHILL GYM","204 W FOOTHILL BLVD ","MONROVIA","GYMS AND FITNESS CENTERS (NO POOL)"
02/19/2021,"ANYTIME FITNESS","2217 HUNTINGTON DR ","DUARTE","GYMS AND FITNESS CENTERS (NO POOL)"
02/19/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
02/19/2021,"HULLY GULLY","9559 IMPERIAL HWY","DOWNEY","RESTAURANT (31-60) SEATS HIGH RISK"
02/19/2021,"CASEY'S BARBER SHOP","107 N MYRTLE ","MONROVIA","HAIR SALONS/ BARBERSHOPS"
02/19/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
02/18/2021,"CENTERPIECE HOOKAH LOUNGE","1910 WESTWOOD BLVD ","LOS ANGELES","TOBACCO"
02/18/2021,"SIZZLER # 83","10153 E ARTESIA BLVD ","BELLFLOWER","RESTAURANT (151 + ) SEATS HIGH RISK"
02/18/2021,"PROPTA PERSONAL TRAINER ASSOCIATION/FLEX GYM","20971 WARNER CENTER LN ","WOODLAND HILLS","GYMS AND FITNESS CENTERS (NO POOL)"
02/18/2021,"USA FITNESS (NEW DBA - SPEAKEASY FITNESS)","7869 VAN NUYS BLVD ","PANORAMA CITY","GYMS AND FITNESS CENTERS (NO POOL)"
02/18/2021,"TANG GONG RESTAURANT","111 N ATLANTIC BLVD STE 350","MONTEREY PARK","RESTAURANT (151 + ) SEATS HIGH RISK"
02/18/2021,"COCO'S                        ","6040 YORK BLVD ","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK"
02/18/2021,"THE BLUEPRINT LA TRAINING","23895 MADISON STREET ","TORRANCE","GYMS AND FITNESS CENTERS (NO POOL)"
02/18/2021,"URTH CAFFE                  ","8565 MELROSE AVE ","WEST HOLLYWOOD","RESTAURANT (31-60) SEATS HIGH RISK"
02/18/2021,"TIN HORN FLATS BAR & GRILL  ","2623 W MAGNOLIA BLVD ","BURBANK","RESTAURANT (61-150) SEATS HIGH RISK"
02/18/2021,"EVELEIGH","8752 W SUNSET BLVD ","WEST HOLLYWOOD","RESTAURANT (61-150) SEATS HIGH RISK"
02/18/2021,"RONSIN LITIGATION","215 S LEMON CREEK DRIVE ","WALNUT","OFFICE SITES"
02/17/2021,"ROMERO'S BARBERSHOP","22940 LYONS AVE UNIT 1/2 ","NEWHALL","HAIR SALONS/ BARBERSHOPS"
02/17/2021,"GARCIA'S FRESH MEAT","7601 GREENLEAF AVE","WHITTIER","FOOD MKT RETAIL (1-1,999 SF) HIGH RISK"
02/17/2021,"MR. GIANT RESTAURANT","12831 WHITTIER BLVD","WHITTIER","RESTAURANT (61-150) SEATS HIGH RISK"
02/17/2021,"TACOS Y MARISCOS EL TIO # 2","10450 ARTESIA BLVD","BELLFLOWER","RESTAURANT (31-60) SEATS HIGH RISK"
02/17/2021,"THE CANBY","19312 VANOWEN ST","RESEDA","RESTAURANT (31-60) SEATS HIGH RISK"
02/17/2021,"POWERHOUSE GYM","22715 HAWTHORNE BLVD ","TORRANCE","GYMS AND FITNESS CENTERS (NO POOL)"
02/17/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
02/17/2021,"CABALLEROS BARBERSHOP","14650 ROSCOE BLVD STE 3 ","PANORAMA CITY","PERSONAL CARE (NAIL SALONS,UNP. MASSAGE,SPAS)"
02/17/2021,"VERITAS TRAINING ACADEMY","10141 FREEMAN AVE ","SANTA FE SPRINGS","GYMS AND FITNESS CENTERS (NO POOL)"
02/17/2021,"LAS CHINAMPAS               ","8025 S PIONEER BLVD ","WHITTIER","RESTAURANT (31-60) SEATS HIGH RISK"
02/17/2021,"PDGA USA","15064 SHOEMAKER AVE ","SANTA FE SPRINGS","GYMS AND FITNESS CENTERS (NO POOL)"
02/17/2021,"MADHOUSE GAINS ASYLUM","4901 PATATA ST SUITE #108 ","CUDAHY","GYMS AND FITNESS CENTERS (NO POOL)"
02/17/2021,"LAKEWOOD FAMILY BILLIARDS","4125 PARAMOUNT BLVD ","LAKEWOOD","FAMILY ENTERTAINMENT (BOWLING, MINI GOLF,ETC)"
